stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
010001,010001,ΣΤΡΟΦΗ,Επί της ΕΛ.ΒΕΝΙΖΕΛΟΥ,37.998608264,23.664984624,0
010002,010002,ΚΟΛΩΝΕΣ,Επί της ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,37.996719436,23.663182324,0
010003,010003,ΑΓ.ΒΑΡΒΑΡΑ,Επί της ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,37.994694735,23.661152961,0
010004,010004,ΔΗΜΑΡΧΕΙΟ,Επί της ΗΠΕΙΡΟΥ,37.992832656,23.659271010,0
010005,010005,ΚΡΗΤΗΣ,Επί της ΠΑΛΑΙΩΝ ΠΟΛΕΜΙΣΤΩΝ,37.990426162,23.656150363,0
010006,010006,ΚΟΥΝΤΟΥΡΙΩΤΟΥ,Επί της ΠΑΛΑΙΩΝ ΠΟΛΕΜΙΣΤΩΝ,37.988000744,23.655820045,0
010007,010007,ΔΗΜΑΡΧΕΙΟ ΑΓ.ΒΑΡΒΑΡΑΣ,Επί της ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,37.989966779,23.659341206,0
010008,010008,1Η ΑΓ. ΜΑΡΙΝΑΣ,Επί της ΑΓ.ΜΑΡΙΝΑΣ,37.995973523,23.667103600,0
010009,010009,ΛΥΚΟΥΡΓΟΥ,Επί της ΛΕΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,37.991445128,23.659425477,0
010010,010010,ΑΒΕΡΩΦ,Επί της ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,37.986628507,23.658126770,0
010011,010011,ΘΕΜΙΣΤΟΚΛΕΟΥΣ,Επί της ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡMΑΝΟΥ,37.988492102,23.654337312,0
010012,010012,ΠΑΛ.ΤΕΡΜΑ,Επί της ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡMΑΝΟΥ,37.990434856,23.652972991,0
010013,010013,ΒΕΝΕΤΙΑ,Επί της ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,37.987647176,23.658201758,0
010014,010014,ΑΦΕΤΗΡΙΑ 837,Επί της ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ,37.993002703,23.652698955,0
010015,010015,ΠΛ.19ς ΜΑIΟΥ,Επί της ΑΠ.ΠΑΥΛΟΥ,37.985065812,23.666332988,0
010016,010016,ΠΑΛ.ΤΕΡΜΑ,Επί της ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ,37.990523571,23.652494265,0
010017,010017,ΘΕΜΙΣΤΟΚΛΕΟΥΣ,Επί της ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ,37.988707168,23.653914947,0
